id,timestamp,name,image,state,metrics
78d6850aa337c8a4cbe6a599011bcc617f2a7473d0f2c9b40f848b370016997d,1663236615.9252746,mn.generator,kafka-generator,running,"[{'metric_type': <MetricType.memory_usage: 'MEMORY_USAGE'>, 'value': 46137344, 'total': 6556213248, 'percent': 0.7037193918924828}, {'metric_type': <MetricType.cpu_usage: 'CPU_USAGE'>, 'value': 150.39817, 'total': 100, 'percent': 150.39817}]"
c68dd3a9170665334f2f4aa4e782589f6732e1c5112f36942f0dbf9f32112e50,1663236615.9252746,mn.broker,confluentinc/cp-kafka:7.0.1,running,"[{'metric_type': <MetricType.memory_usage: 'MEMORY_USAGE'>, 'value': 3256320, 'total': 6556213248, 'percent': 0.04966769500661611}, {'metric_type': <MetricType.cpu_usage: 'CPU_USAGE'>, 'value': 0.0, 'total': 100, 'percent': 0.0}]"
7c4192313841daf96fe31ddd95cb37fd963a9cfeca26214de8f06060c9fb0356,1663236615.9252746,mn.zookeeper,confluentinc/cp-zookeeper:7.0.1,running,"[{'metric_type': <MetricType.memory_usage: 'MEMORY_USAGE'>, 'value': 98717696, 'total': 6556213248, 'percent': 1.5057120973012013}, {'metric_type': <MetricType.cpu_usage: 'CPU_USAGE'>, 'value': 0.15756, 'total': 100, 'percent': 0.15756}]"
